Title,Authors,Venue,Year,URL
Why Attentions May Not Be Interpretable?,"Bing Bai, Jian Liang 0001, Guanhua Zhang, Hao Li, Kun Bai, Fei Wang 0001",KDD,2021,https://doi.org/10.1145/3447548.3467307
Multi-facet Contextual Bandits: A Neural Network Perspective.,"Yikun Ban, Jingrui He, Curtiss B. Cook",KDD,2021,https://doi.org/10.1145/3447548.3467299
Auto-Split: A General Framework of Collaborative Edge-Cloud AI.,"Amin Banitalebi-Dehkordi, Naveen Vedula, Jian Pei, Fei Xia, Lanjun Wang, Yong Zhang 0004",KDD,2021,https://doi.org/10.1145/3447548.3467078
Partial Label Dimensionality Reduction via Confidence-Based Dependence Maximization.,"Wei-Xuan Bao, Jun-Yi Hang, Min-Ling Zhang",KDD,2021,https://doi.org/10.1145/3447548.3467313
Online Advertising Incrementality Testing And Experimentation: Industry Practical Lessons.,"Joel Barajas, Narayan Bhamidipati, James G. Shanahan",KDD,2021,https://doi.org/10.1145/3447548.3470819
Creating Recommender Systems Datasets in Scientific Fields.,"Márcia Barros, Francisco M. Couto, Matilde Pato, Pedro Ruas",KDD,2021,https://doi.org/10.1145/3447548.3470805
Unpaired Generative Molecule-to-Molecule Translation for Lead Optimization.,"Guy Barshatski, Kira Radinsky",KDD,2021,https://doi.org/10.1145/3447548.3467120
Uplift Modeling with Generalization Guarantees.,"Artem Betlei, Eustache Diemert, Massih-Reza Amini",KDD,2021,https://doi.org/10.1145/3447548.3467395
Fast One-class Classification using Class Boundary-preserving Random Projections.,"Arindam Bhattacharya, Sumanth Varambally, Amitabha Bagchi, Srikanta Bedathur",KDD,2021,https://doi.org/10.1145/3447548.3467440
A Framework for Modeling Cyber Attack Techniques from Security Vulnerability Descriptions.,"Hodaya Binyamini, Ron Bitton, Masaki Inokuchi, Tomohiko Yagyu, Yuval Elovici, Asaf Shabtai",KDD,2021,https://doi.org/10.1145/3447548.3467159
Causal Models for Real Time Bidding with Repeated User Interactions.,"Martin Bompaire, Alexandre Gilotte, Benjamin Heymann",KDD,2021,https://doi.org/10.1145/3447548.3467280
VisRel: Media Search at Scale.,"Fedor Borisyuk, Siddarth Malreddy, Jun Mei, Yiqun Liu 0006, Xiaoyi Liu, Piyush Maheshwari, Anthony Bell, Kaushik Rangadurai",KDD,2021,https://doi.org/10.1145/3447548.3467081
BiblioDAP&apos;21: The 1st Workshop on Bibliographic Data Analysis and Processing.,"Zeyd Boukhers, Philipp Mayr 0001, Silvio Peroni",KDD,2021,https://doi.org/10.1145/3447548.3469482
GEM: Translation-Free Zero-Shot Global Entity Matcher for Global Catalogs.,Karim Bouyarmane,KDD,2021,https://doi.org/10.1145/3447548.3467209
Aggregating Complex Annotations via Merging and Matching.,"Alexander Braylan, Matthew Lease",KDD,2021,https://doi.org/10.1145/3447548.3467411
A Semi-Personalized System for User Cold Start Recommendation on Music Streaming Apps.,"Léa Briand, Guillaume Salha-Galvan, Walid Bendada, Mathieu Morlon, Viet-Anh Tran",KDD,2021,https://doi.org/10.1145/3447548.3467110
Skills Explorer: A Human+AI Approach to Data Capture for Skills.,"Diarmuid Cahalane, Aisling Nugent, Paul Sweeney, Justin Walker",DaSH@KDD,2021,https://github.com/valahu/dash/blob/main/KDD2021/paper_3_Cahalane.pdf
Generating Mobility Trajectories with Retained Data Utility.,"Chu Cao, Mo Li 0001",KDD,2021,https://doi.org/10.1145/3447548.3467158
Interactive Audience Expansion On Large Scale Online Visitor Data.,"Gromit Yeuk-Yin Chan, Tung Mai, Anup B. Rao, Ryan A. Rossi, Fan Du, Cláudio T. Silva, Juliana Freire",KDD,2021,https://doi.org/10.1145/3447548.3467179
Extreme Multi-label Learning for Semantic Matching in Product Search.,"Wei-Cheng Chang, Daniel L. Jiang, Hsiang-Fu Yu, Choon-Hui Teo, Jiong Zhang, Kai Zhong, Kedarnath Kolluri, Qie Hu, Nikhil Shandilya, Vyacheslav Ievgrafov, Japinder Singh, Inderjit S. Dhillon",KDD,2021,https://doi.org/10.1145/3447548.3467092
How Interpretable and Trustworthy are GAMs?,"Chun-Hao Chang, Sarah Tan, Benjamin J. Lengerich, Anna Goldenberg, Rich Caruana",KDD,2021,https://doi.org/10.1145/3447548.3467453
Supporting COVID-19 Policy Response with Large-scale Mobility-based Modeling.,"Serina Chang, Mandy L. Wilson, Bryan L. Lewis, Zakaria Mehrab, Komal K. Dudakiya, Emma Pierson, Pang Wei Koh, Jaline Gerardin, Beth Redbird, David Grusky, Madhav V. Marathe, Jure Leskovec",KDD,2021,https://doi.org/10.1145/3447548.3467182
Curriculum Meta-Learning for Next POI Recommendation.,"Yudong Chen 0003, Xin Wang 0019, Miao Fan, Jizhou Huang, Shengwen Yang, Wenwu Zhu 0001",KDD,2021,https://doi.org/10.1145/3447548.3467132
On Breaking Truss-Based Communities.,"Huiping Chen, Alessio Conte, Roberto Grossi, Grigorios Loukides, Solon P. Pissis, Michelle Sweering",KDD,2021,https://doi.org/10.1145/3447548.3467365
Web-Scale Generic Object Detection at Microsoft Bing.,"Stephen Xi Chen, Saurajit Mukherjee, Unmesh Phadke, Tingting Wang, Junwon Park, Ravi Theja Yada",KDD,2021,https://doi.org/10.1145/3447548.3467122
PD-Net: Quantitative Motor Function Evaluation for Parkinson&apos;s Disease via Automated Hand Gesture Analysis.,"Yifei Chen, Haoyu Ma, Jiangyuan Wang, Jianbao Wu, Xian Wu 0001, Xiaohui Xie",KDD,2021,https://doi.org/10.1145/3447548.3467130
Graph Deep Factors for Forecasting with Applications to Cloud Resource Allocation.,"Hongjie Chen 0003, Ryan A. Rossi, Kanak Mahadik, Sungchul Kim, Hoda Eldardiry",KDD,2021,https://doi.org/10.1145/3447548.3467357
PAR-GAN: Improving the Generalization of Generative Adversarial Networks Against Membership Inference Attacks.,"Junjie Chen 0004, Wendy Hui Wang, Hongchang Gao, Xinghua Shi",KDD,2021,https://doi.org/10.1145/3447548.3467445
Task-wise Split Gradient Boosting Trees for Multi-center Diabetes Prediction.,"Mingcheng Chen, Zhenghui Wang, Zhiyun Zhao, Weinan Zhang 0001, Xiawei Guo, Jian Shen 0003, Yanru Qu, Jieli Lu, Min Xu, Yu Xu, Tiange Wang, Mian Li, Weiwei Tu, Yong Yu 0001, Yufang Bi, Weiqing Wang, Guang Ning",KDD,2021,https://doi.org/10.1145/3447548.3467123
Learning Elastic Embeddings for Customizing On-Device Recommenders.,"Tong Chen 0005, Hongzhi Yin, Yujia Zheng 0001, Zi Huang, Yang Wang 0023, Meng Wang 0001",KDD,2021,https://doi.org/10.1145/3447548.3467220
Causal Understanding of Fake News Dissemination on Social Media.,"Lu Cheng 0001, Ruocheng Guo, Kai Shu, Huan Liu 0001",KDD,2021,https://doi.org/10.1145/3447548.3467321
Interpreting Internal Activation Patterns in Deep Temporal Neural Networks by Finding Prototypes.,"Sohee Cho, Wonjoon Chang, Ginkyeng Lee, Jaesik Choi",KDD,2021,https://doi.org/10.1145/3447548.3467346
Bayesian Causal Inference for Real World Interactive Systems.,"Nicolas Chopin, Mike Gartrell, Dawen Liang, Alberto Lumbreras, David Rohde, Yixin Wang",KDD,2021,https://doi.org/10.1145/3447548.3469447
Robust Object Detection Fusion Against Deception.,"Ka Ho Chow, Ling Liu 0001",KDD,2021,https://doi.org/10.1145/3447548.3467121
FASER: Seismic Phase Identifier for Automated Monitoring.,"Farhan Asif Chowdhury, M. Ashraf Siddiquee, Glenn Eli Baker, Abdullah Mueen",KDD,2021,https://doi.org/10.1145/3447548.3467064
Graph Infomax Adversarial Learning for Treatment Effect Estimation with Networked Observational Data.,"Zhixuan Chu, Stephen L. Rathbun, Sheng Li 0001",KDD,2021,https://doi.org/10.1145/3447548.3467302
Improve Learning from Crowds via Generative Augmentation.,"Zhendong Chu, Hongning Wang",KDD,2021,https://doi.org/10.1145/3447548.3467409
Theory meets Practice at the Median: A Worst Case Comparison of Relative Error Quantile Algorithms.,"Graham Cormode, Abhinav Mishra, Joseph Ross, Pavel Veselý 0001",KDD,2021,https://doi.org/10.1145/3447548.3467152
Graph Similarity Description: How Are These Graphs Similar?,"Corinna Coupette, Jilles Vreeken",KDD,2021,https://doi.org/10.1145/3447548.3467257
Bavarian: Betweenness Centrality Approximation with Variance-Aware Rademacher Averages.,"Cyrus Cousins, Chloe Wohlgemuth, Matteo Riondato",KDD,2021,https://doi.org/10.1145/3447548.3467354
Workshop on Online and Adaptative Recommender Systems (OARS).,"Xiquan Cui, Estelle Afshar, Khalifeh Al Jadda, Srijan Kumar, Julian J. McAuley, Tao Ye 0001, Kamelia Aryafar, Vachik S. Dave, Mohammad Korayem",KDD,2021,https://doi.org/10.1145/3447548.3469472
Towards Model-Agnostic Post-Hoc Adjustment for Balancing Ranking Fairness and Algorithm Utility.,"Sen Cui, Weishen Pan, Changshui Zhang, Fei Wang 0001",KDD,2021,https://doi.org/10.1145/3447548.3467251
