Index,University,Artificial Intelligence & Machine Learning,Machine Learning,Data Science & Data Mining,Computer Vision & Image Processing,Natural Language Processing,Systems & Networking,Databases,Security & Privacy,Human Computer Interaction,Theoretical Computer Science,Software Engineering,Computer Graphics & Virtual Reality,Quantum Computing,Interdisciplinary Fields,Continent
91,Univ. of California - Davis,0.0,9.0,0.0,9.008583959899747,2.592857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
92,Seoul National University,0.0,27.571006771006772,0.0,130.89372294372305,2.800980392156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
93,Univ. of California - San Diego,0.0,215.55849682575484,0.0,258.1462856587856,12.730194805194802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
94,Leiden University,0.0,10.530303030303031,0.0,4.716666666666666,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
95,Fudan University,0.0,5.740909090909091,0.0,14.484595959595957,5.554761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
96,University of Hong Kong,0.0,21.33698373698373,0.0,34.40695868459028,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
97,RWTH Aachen University,0.0,13.207142857142856,0.0,26.476190476190467,4.99090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
98,University of Minnesota,0.0,9.62857142857143,0.0,10.165151515151512,0.5111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
99,MBZUAI,0.0,39.07031024531024,0.0,86.88025908310539,17.65126262626262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
100,KAIST,0.0,38.073051948051955,0.0,118.18412698412706,5.504458450046685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
101,Aalto University,0.0,17.210410830999063,0.0,40.98690476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
102,VU Amsterdam,0.0,3.3761904761904766,0.0,1.3666666666666667,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
103,George Mason University,0.0,3.662337662337662,0.0,8.354545454545454,5.124044011544011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
104,Open University UK,0.0,1.7000000000000002,0.0,2.525,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
105,KU Leuven,0.0,5.983333333333333,0.0,8.083333333333334,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
106,University of Macau,0.0,1.1166666666666667,0.0,18.581349206349202,0.5095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
107,CISPA Helmholtz Center,0.0,12.56111111111111,0.0,21.392604617604615,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
108,Tongji University,0.0,1.0357142857142856,0.0,10.383333333333331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
109,ShanghaiTech University,0.0,3.6908730158730156,0.0,38.25277777777779,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
110,Czech Technical University,0.0,7.995238095238095,0.0,104.60668816477643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
111,University of Ottawa,0.0,0.9944444444444445,0.0,2.3666666666666667,1.6999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
112,Saarland University,0.0,8.641666666666666,0.0,6.542857142857144,13.216666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
113,Polytechnic University of Catalonia,0.0,0.3428571428571428,0.0,1.7128389154704942,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
114,University of Bonn,0.0,6.166666666666666,0.0,44.225000000000016,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
115,Nanjing University,0.0,17.39285714285714,0.0,24.334523809523798,2.626190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
116,TU Darmstadt,0.0,20.885714285714283,0.0,82.61904761904763,10.030158730158732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
117,Chinese Academy of Sciences,0.0,12.321031746031741,0.0,60.345425452683564,4.324206349206349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
118,City University of Hong Kong,0.0,4.665415140415139,0.0,20.546536796536788,0.3666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
119,KTH Royal Institute of Technology,0.0,4.850432900432901,0.0,6.456060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
120,CUHK (SZ),0.0,7.6464285714285705,0.0,33.074278499278485,1.6547619047619044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
121,POSTECH,0.0,7.833333333333333,0.0,113.38214285714287,1.2777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
