Rank,University,Artificial intelligence,Computer systems and networks,Cybersecurity,Databases and data mining,Digital Libraries,Human computer interaction,Machine Learning,Medical Image Computing,Natural Language Processing,Parallel Computing,Program Analysis,Programming Languages,Programming languages and verification,Vision and graphics
323,Sungkyunkwan University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,Istanbul Technical University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Worcester Polytechnic Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,Istanbul Technical University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Univ. of California - San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Istanbul Technical University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,TU Munich,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,UFPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,CRIStAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Princeton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Indiana University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Cardiff University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Université libre de Bruxelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Indiana University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,University of Montreal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,KAUST,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,IIT Bombay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Macquarie University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,Princeton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,IIT Bombay,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,EURECOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,Aberystwyth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,University of Fribourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,University of Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Aberystwyth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,University of Waterloo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
